x,y,z,radius
14.986169517487449,-18.56988920799903,17.32362894153775,1.2
14.965073967488305,-17.946028345984445,17.01690170911172,1.2
14.904032720999638,-17.313506928533055,16.672946248020914,1.2
14.804916167713374,-16.666747150065735,16.312503547605854,1.2
14.669896010975098,-16.00336583546502,15.95394495495732,1.2
14.500691449918884,-15.325764391526857,15.610742648698515,1.2
14.29801000322138,-14.640593859129988,15.289851627715112,1.2
14.06150478715101,-13.95869290429276,14.991644995210684,1.2
13.790124384889122,-13.293567685358031,14.710761375992938,1.2
13.482674756794772,-12.659368178565844,14.437754788515424,1.2
13.138433472385172,-12.069295612368348,14.161377734428145,1.2
12.757497684298164,-11.533535009529649,13.870759175987953,1.2
12.341296919654589,-11.057742460403825,13.5569198444989,1.2
11.893023735507322,-10.642678229831656,13.213925962533285,1.2
11.41711862457356,-10.284388949151111,12.83945526469246,1.2
10.919610568803174,-9.975630236799814,12.433657333478008,1.2
10.407172168750131,-9.708353302445872,11.99887955420584,1.2
9.88669049024799,-9.475873595089892,11.53785156542567,1.2
9.364079255485011,-9.273967048544538,11.0538773053955,1.2
8.843786642692237,-9.101861513481309,10.55010295858514,1.2
8.328026086240165,-8.961394970254197,10.030459356565265,1.2
7.817019777014655,-8.855394278753673,9.499630617233922,1.2
7.309375405571658,-8.786278749226941,8.963078643346034,1.2
6.802565512759012,-8.754479718179082,8.4272738829725,1.2
6.293625242399918,-8.756879560756031,7.899609737730296,1.2
5.779384482964204,-8.78675423470736,7.388016045088186,1.2
5.25647480573393,-8.834382858645656,6.9005408915049165,1.2
4.721698852200165,-8.887892338771772,6.444397645782499,1.2
4.17259800211461,-8.935249157341609,6.024010782981595,1.2
3.6082139921285465,-8.965533571643654,5.639428284984073,1.2
3.029777864798368,-8.970447634185206,5.285046534861756,1.2
2.4408634114606755,-8.94519204623461,4.949434006596619,1.2
1.8469150067775368,-8.889703992301563,4.616847485784902,1.2
1.254186695819672,-8.808693583625526,4.270052009121842,1.2
0.668624116574415,-8.710653407271666,3.8937342124953767,1.2
0.095146023976375,-8.605184806611609,3.477511600888817,1.2
-0.4625838410112711,-8.499504395039052,3.01802732719391,1.2
-1.0019421968982205,-8.39524916539192,2.519942408929165,1.2
-1.5208315265071477,-8.28616534358937,1.995640834729253,1.2
-2.017157501642414,-8.157990093144878,1.463693009359846,1.2
-2.4884292457111523,-7.990981667500737,0.9464012644560896,1.2
-2.931560202678157,-7.763671651466091,0.4666267280021413,1.2
-3.343042379608832,-7.457137293273914,0.044276294246081,1.2
-3.719492046845603,-7.059065313266603,-0.3070006386708962,1.2
-4.058401643178399,-6.56576938190873,-0.5825226477262292,1.2
-4.358844697661915,-5.983139098045948,-0.7877675364014597,1.2
-4.621843450093828,-5.325238853662328,-0.937967791832738,1.2
-4.850419757970957,-4.611862577292401,-1.0558605821379254,1.2
-5.049165336451894,-3.8660186294847674,-1.16795059651083,1.2
-5.22382039741458,-3.1098694391919475,-1.299704610298287,1.2
-5.380732965685631,-2.3623441744206115,-1.4706506774602766,1.2
-5.526522091140112,-1.6368666244286654,-1.6904274459722433,1.2
-5.667776745870448,-0.9404909402655148,-1.95628758301684,1.2
-5.81069410630743,-0.2734740728893235,-2.252968887567027,1.2
-5.960547676300625,0.369553802223495,-2.555356130642532,1.2
-6.120968448260052,0.9977147760974112,-2.8335229717261217,1.2
-6.293153735141667,1.62218891654076,-3.0592302402727576,1.2
-6.475140505013084,2.2535919913383307,-3.212537358354312,1.2
-6.661510573947273,2.9002555917512947,-3.286919165882717,1.2
-6.843765295599676,3.566904215634391,-3.291509687391088,1.2
-7.011320638561212,4.253863305969905,-3.2501577967710857,1.2
-7.153271257342995,4.95666496375115,-3.1972641904727324,1.2
-7.260394207362916,5.66608568776644,-3.1717070838433066,1.2
-7.327097532835617,6.368848493822853,-3.210218931488819,1.2
-7.352724950867294,7.04769654818648,-3.341627933091571,1.2
-7.341678864774946,7.682157783555828,-3.583138890758454,1.2
-7.30218274520477,8.249657131523495,-3.939158220900286,1.2
-7.243887950092779,8.727123239101793,-4.402191913767544,1.2
-7.175043075298537,9.09279745869576,-4.955127621357112,1.2
-7.100123883035,9.3289696740035,-5.574437046412086,1.2
-7.018840946873062,9.424600629041262,-6.233873769190581,1.2
-6.926852692035729,9.377247371564495,-6.908142807449243,1.2
-6.817640780597189,9.194427067454418,-7.576115151759574,1.2
-6.684760798523012,8.893005280212797,-8.22327135096285,1.2
-6.523764548935644,8.49832448371793,-8.842994415941174,1.2
-6.333454006721667,8.042138514950638,-9.436533083274211,1.2
-6.116346554156302,7.559247061908378,-10.011606691819097,1.2
-5.878504665069786,7.085346244501171,-10.579968081411604,1.2
-5.62868696470129,6.653890429961814,-11.154227455048716,1.2
-5.377024264924333,6.2939717559031445,-11.744291322269236,1.2
-5.133607548165897,6.02838888949067,-12.354071140602803,1.2
-4.90708262525931,5.872690798990958,-12.978926385284776,1.2
-4.703662184579908,5.835176211138188,-13.604590359648284,1.2
-4.526858576959737,5.917516624424349,-14.207605604796184,1.2
-4.378259085708769,6.115933580856703,-14.75803137169285,1.2
-4.259098338781487,6.421997256332389,-15.22351674905254,1.2
-4.171817029523127,6.822911818666158,-15.574144112641564,1.2
-4.120920929087441,7.301744596217001,-15.787620936019657,1.2
-4.112697874975974,7.83742900747729,-15.852352384226156,1.2
-4.153930656052714,8.406078215005259,-15.768864370561523,1.2
-4.249992295434405,8.983641547485226,-15.54836835889076,1.2
-4.4027040434060725,9.548240245587332,-15.21018171021576,1.2
-4.608608975746333,10.083324189764248,-14.777937790201154,1.2
-4.858163178392653,10.5793171459233,-14.27575650567986,1.2
-5.136354653004794,11.033831688163016,-13.725539334958896,1.2
-5.424586115118969,11.450282620206275,-13.14460042476306,1.2
-5.703325465995978,11.835899980047628,-12.545094467092015,1.2
-5.954780327412189,12.19929067914859,-11.934417861301702,1.2
-6.164807764651915,12.54880751808714,-11.316218169354071,1.2
-6.323754322091921,12.89155547853785,-10.691812746952987,1.2
-6.426460384100852,13.23296329033299,-10.061436951352816,1.2
-6.47188963255511,13.577112590542235,-9.425151889351074,1.2
-6.462628162326993,13.926974590519617,-8.783363425266428,1.2
-6.40419996787594,14.284790888251491,-8.137103559288072,1.2
-6.304239373804824,14.652283841624312,-7.488123519469327,1.2
-6.171418148613268,15.030809104139712,-6.839111442327637,1.2
-6.014301943796994,15.421320491642584,-6.19402280912216,1.2
-5.840486134863126,15.82443366394316,-5.558545807287657,1.2
-5.656084148307408,16.240389273675316,-4.94075116394556,1.2
-5.465751332279209,16.669301070503607,-4.351658558355922,1.2
-5.272981564458218,17.11164100437335,-3.8057590340650496,1.2
